Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
NA18953,JPT,East Asian Ancestry,Japanese,-7.392425558782065,-6.291216583735721,-10.991773,-25.378714,-3.440342295909799,-1.6954947324956704,,,,,
NA18954,JPT,East Asian Ancestry,Japanese,-5.570026741197475,-5.897315211243465,-5.791467,-34.274654,-2.111245917897418,-1.0465186540886449,,,,,
NA18956,JPT,East Asian Ancestry,Japanese,-6.999928168194149,-5.141959324629906,-13.758296,-27.254179,-2.9604805082916723,-1.1807788512143609,,,,,
NA18957,JPT,East Asian Ancestry,Japanese,-5.25228473530883,-4.636112887439411,-8.011409,-25.420307,-2.5949132047150796,-1.8723043347852948,,,,,
NA18959,JPT,East Asian Ancestry,Japanese,-6.628964101046838,-6.91798336558267,-12.181443,-31.320923,-2.2199499465085673,-2.61914053460655,,,,,
NA18960,JPT,East Asian Ancestry,Japanese,-6.982737015555804,-6.259397609740174,-12.434824,-25.76389,-3.1964903716638204,-2.798942327111516,,,,,
NA18961,JPT,East Asian Ancestry,Japanese,-5.407385716677064,-4.012946596855758,-10.422916,-23.390724,-3.227758326845046,-0.9344213325871773,,,,,
NA18962,JPT,East Asian Ancestry,Japanese,-5.984549135619163,-4.364622065359797,-4.5659785,-24.847586,-2.262865174811508,-1.211427047874325,,,,,
NA18963,JPT,East Asian Ancestry,Japanese,-6.244957617295226,-6.105838134658513,-12.744116,-25.120754,-2.110440929102652,-2.3040492852724155,,,,,
NA18964,JPT,East Asian Ancestry,Japanese,-6.154163622448223,-6.389491253135378,-14.124851,-25.798843,-3.0213993921204327,-2.150098800519009,,,,,
NA18965,JPT,East Asian Ancestry,Japanese,-5.6462343058039135,-4.684135206661193,-8.835131,-25.285803,-2.6385209116499575,-1.2029545471004837,,,,,
NA18966,JPT,East Asian Ancestry,Japanese,-5.895592763767681,-5.268229002288071,-9.20627,-23.039902,-2.378132795086697,-2.7156902749718697,,,,,
NA18968,JPT,East Asian Ancestry,Japanese,-5.704571596756413,-5.5299711046256474,-10.443747,-26.4987,-3.46113594183881,-2.118270116944939,,,,,
NA18971,JPT,East Asian Ancestry,Japanese,-6.985045239546988,-6.190386127547405,-13.412376,-25.460428,-3.3091850763584896,-2.2184858889124826,,,,,
NA18973,JPT,East Asian Ancestry,Japanese,-7.540664065066476,-5.517320097378451,-12.017054,-22.291784,-2.9270566733275656,-2.8617962866540188,,,,,
NA18974,JPT,East Asian Ancestry,Japanese,-5.8311260987304685,-5.667170505540768,-3.520281,-29.29526,-1.899329955087132,-2.0499946841156556,,,,,
NA18975,JPT,East Asian Ancestry,Japanese,-6.2990681636055825,-6.45372824955714,-9.682424,-22.021654,-3.130730317318303,-1.5374031809363187,,,,,
NA18976,JPT,East Asian Ancestry,Japanese,-6.442616639652082,-5.730914996285892,-6.8601675,-31.245934,-2.5766220026983726,-2.9817391510440867,,,,,
NA18977,JPT,East Asian Ancestry,Japanese,-6.33194847507723,-5.225857559528488,-9.813723,-22.894562,-3.8260269269288196,-1.8293356128316898,,,,,
